Driver,Sebastian Chudek,,,,,,SPEED,
Vehicle,mx5 mx52016,,,,,,THROTTLE,
Venue,okayama full,,,,,,BRAKING,
Session,Test,,,,,,RPM,
Session Date,18/03/2022,,,,,,GEAR,
Session Time,23:18:32,,,,,,TIME,
Sample Rate,60,Hz,,,,,,
,,,,,,,,
,,,,,,,,
,Lap No.,Brake,Gear,RPM,Speed,Throttle,LapDist,SessionTick
,,%,,rpm,m/s,%,m,
,,,,,,,,
,1,0,1,3304.92,12.3758,100,0.559306,39951
,1,0,1,3326.61,12.4427,100,0.763491,39952
,1,0,1,3344.35,12.508,100,0.968736,39953
,1,0,1,3365.55,12.5772,100,1.17501,39954
,1,0,1,3373.85,12.6494,100,1.38248,39955
,1,0,1,3366.17,12.7122,100,1.59102,39956
,1,0,1,3370.71,12.7791,100,1.80061,39957
,1,0,1,3389.95,12.8485,100,2.01136,39958
,1,0,1,3412.27,12.9109,100,2.22317,39959
,1,0,1,3435.94,12.9723,100,2.43599,39960
,1,0,1,3460.39,13.0334,100,2.64979,39961
,1,0,1,3484.42,13.0949,100,2.86459,39962
,1,0,1,3506.23,13.1568,100,3.08035,39963
,1,0,1,3525.33,13.2195,100,3.29704,39964
,1,0,1,3541.74,13.2829,100,3.51475,39965
,1,0,1,3556.17,13.3468,100,3.7335,39966
,1,0,1,3569.71,13.4108,100,3.95328,39967
,1,0,1,3583.13,13.4747,100,4.17409,39968
,1,0,1,3597.1,13.538,100,4.39593,39969
,1,0,1,3611.69,13.6008,100,4.6188,39970
,1,0,1,3628.46,13.6632,100,4.84267,39971
,1,0,1,3645.84,13.722,100,5.0675,39972
,1,0,1,3662.85,13.7831,100,5.29334,39973
,1,0,1,3679.64,13.8463,100,5.52021,39974
,1,0,1,3694.03,13.909,100,5.74814,39975
,1,0,1,3710.12,13.9725,100,5.9771,39976
,1,0,1,3726.73,14.0352,100,6.20699,39977
,1,0,1,3745.33,14.0983,100,6.4379,39978
,1,0,1,3765.86,14.1607,100,6.66982,39979
,1,0,1,3788.61,14.2229,100,6.90273,39980
,1,0,1,3816.86,14.2767,100,7.13659,39981
,1,0,1,3861.82,14.3422,100,7.37134,39982
,1,0,1,3892.27,14.4069,100,7.6072,39983
,1,0,1,3903.06,14.4722,100,7.84409,39984
,1,0,1,3905.4,14.5426,100,8.08209,39985
,1,0,1,3903.83,14.6163,100,8.32127,39986
,1,0,1,3908.25,14.6918,100,8.56162,39987
,1,0,1,3913.96,14.7607,100,8.80311,39988
,1,0,1,3924.91,14.8277,100,9.04566,39989
,1,0,1,3940.69,14.8909,100,9.28912,39990
,1,0,1,3958.01,14.9539,100,9.53361,39991
,1,0,1,3978.64,15.0181,100,9.77916,39992
,1,0,1,4000.27,15.0842,100,10.0258,39993
,1,0,1,4022.39,15.1522,100,10.2735,39994
,1,0,1,4035.35,15.2216,100,10.5224,39995
,1,0,1,4043.73,15.2816,100,10.7723,39996
,1,0,1,4074.72,15.345,100,11.0232,39997
,1,0,1,4120.67,15.408,100,11.2751,39998
,1,0,1,4171.99,15.4662,100,11.528,39999
,1,0,1,4217.79,15.5359,100,11.7819,40000
,1,0,1,4236.54,15.6077,100,12.0369,40001
,1,0,1,4234.09,15.6836,100,12.292,40002
,1,0,1,4224.46,15.7626,100,12.5484,40003
,1,0,1,4219.3,15.8411,100,12.806,40004
,1,0,1,4228.31,15.9151,100,13.065,40005
,1,0,1,4252.45,15.985,100,13.3251,40006
,1,0,1,4286.26,16.0518,100,13.5863,40007
,1,0,1,4321.59,16.1182,100,13.8486,40008
,1,0,1,4349.01,16.1863,100,14.1121,40009
,1,0,1,4366.47,16.2569,100,14.3767,40010
,1,0,1,4378.05,16.3306,100,14.6425,40011
,1,0,1,4386.83,16.4058,100,14.9095,40012
,1,0,1,4396.49,16.4801,100,15.1773,40013
,1,0,1,4411.29,16.5536,100,15.4462,40014
,1,0,1,4431.25,16.6257,100,15.7162,40015
,1,0,1,4453.27,16.696,100,15.9874,40016
,1,0,1,4475.61,16.7658,100,16.2598,40017
,1,0,1,4496.53,16.8359,100,16.5333,40018
